date,git_sha,version,resident_bytes,zp_bytes,reu_banks,scalarmult_cycles,scalarmult_jif,fe25519_mul_jif,fe25519_sqr_jif,fe25519_mul_a24_jif,fe25519_add_jif,fe25519_sub_jif,fe25519_reduce_final_jif,fe25519_cswap_jif,fe25519_inv_jif,note
2026-05-20,ebd388aab680-dirty,v0.5.0,9275,85,6,261640265,15349.6,5.558,5.985,0.442,0.129,0.098,0.174,0.089,1687.6,baseline; default SQR_DMA_K=22; bench_fe_ops switched to CIA1 (PR #39 jiffy-bench regression fix); VIC-blanked; RFC 7748 PASS
2026-05-20,ebd388aab680-dirty,v0.5.0+exp,9275,85,6,304060643,17838.2,5.558,7.939,0.442,0.129,0.098,0.174,0.089,2217.2,experiment: CA65FLAGS=-D SQR_DMA_K=0; forces mult66 path in fe25519_sqr; banks 3-5 (192 KB REU) unused at runtime; VIC-blanked; RFC 7748 PASS
2026-05-20,ebd388aab680-dirty,v0.6-prep+groupC,9224,85,5,261681380,15352.0,5.558,5.985,0.444,0.129,0.098,0.176,0.089,1687.6,"v0.6 prep: bank-2 zero stash dropped from reu_mul_init; CODE -51 B; REU banks 0,1,3,4,5 ($3B); RFC 7748 PASS; +41k cy on scalarmult vs baseline is code-layout noise (0.016%)"
